cod_ciclo,cod_ano,cod_canal,cod_agrupador_sap_material,cod_uf,des_categoria_material,des_subcategoria_material,des_marca_material,des_mecanica_consumidor,des_mecanica_rev,des_promocao_publico,vlr_desconto_real,vlr_rbv_tabela_so_tt,vlr_rbv_real_so_tt,vlr_preco_base,vlr_preco_venda
201916,2019.0,Anon2,13488.5012262274,Anon3,Anon2,Anon2,Anon2,Anon12,Anon1,Anon1,8495.25704502337,19999.8843181713,11504.6272731479,30.2112676056338,17.3286385
202308,2023.0,Anon1,15699.1809726528,Anon1,Anon1,Anon1,Anon2,Anon5,Anon4,Anon3,6.94090972190088,76.118643283513,69.1777335616122,23.169014084507,21.056338028169
202309,2023.0,Anon1,19406.7835824349,Anon2,Anon1,Anon1,Anon5,Anon3,Anon1,Anon2,0.0,35378.9736708158,35378.9736708158,126.69014084507,126.69014084507
202303,2023.0,Anon2,19412.5676738698,Anon1,Anon1,Anon1,Anon5,Anon10,Anon1,Anon1,19.9435472675952,9968.88158808014,9948.93804081255,80.9154929577465,80.7769952816902
202201,2022.0,Anon1,23459.118041738,Anon1,Anon1,Anon1,Anon5,Anon3,Anon1,Anon2,196.740086067281,2856.76275970571,2660.02267363842,31.6197183098592,29.3732394366197
202003,2020.0,Anon2,17159.085650826,Anon3,Anon1,Anon3,Anon1,Anon3,Anon1,Anon2,0.0,7037.50404886401,7037.50404886401,37.2535211267606,37.2535211267606
202111,2021.0,Anon2,15423.8582203507,Anon1,Anon1,Anon1,Anon1,Anon2,Anon1,Anon1,541.390958308269,2777.86775253343,2236.47679422516,45.7042253521127,36.727699528169
202209,2022.0,Anon1,19406.7835824349,Anon2,Anon1,Anon1,Anon5,Anon3,Anon5,Anon4,7478.32122530193,48834.3898940355,41356.0686687335,116.12676056338,98.2957746478873
202209,2022.0,Anon2,19403.3131275739,Anon2,Anon1,Anon1,Anon5,Anon2,Anon1,Anon1,38462.5537920504,176261.626023784,137799.072231734,116.12676056338,91.4389671126761
202301,2022.0,Anon1,17129.0083753644,Anon1,Anon1,Anon1,Anon4,Anon2,Anon2,Anon3,244.875294988663,831.983711998519,587.108417009856,63.3098591549296,44.6760563380282
202005,2020.0,Anon1,13671.2785155708,Anon3,Anon1,Anon1,Anon1,Anon3,Anon1,Anon2,206.769700615427,21720.9985655453,21514.2288649299,56.2676056338028,54.9389671338028
